CELLS_CELLID  	CELLS_AREAID  	CELLS_NETWORKID  	CELLS_COUNTRYID  
1531268	23	1	228
1531829	23	1	228
1532279	23	1	228
1532280	23	1	228
1532620	23	1	228
1532628	23	1	228
1533489	23	1	228
1533490	23	1	228
1534189	23	1	228
1535059	23	1	228
1535126	23	1	228
1535128	23	1	228
1536681	23	1	228
1536703	23	1	228
1536706	23	1	228
1536779	23	1	228
1539803	23	1	228
1539805	23	1	228
1539807	23	1	228
1542615	23	1	228
1542617	23	1	228
1542706	23	1	228
1542708	23	1	228
1544562	23	1	228
1544565	23	1	228
1544569	23	1	228
1544570	23	1	228
1544572	23	1	228
1544573	23	1	228
1545142	23	1	228
1545144	23	1	228
1545147	23	1	228
1545495	23	1	228
1545496	23	1	228
1545509	23	1	228
1545511	23	1	228
1545520	23	1	228
1545680	23	1	228
1545682	23	1	228
1545809	23	1	228
1547134	23	1	228
1547136	23	1	228
1547164	23	1	228
1594744	24	1	228
1595328	24	1	228
1595329	24	1	228
1601319	24	1	228
1601500	24	1	228
1607550	24	1	228
1607551	24	1	228
1610753	24	1	228
1611591	24	1	228
1611592	24	1	228
1719039	26	1	228
1723366	26	1	228
1726750	26	1	228
1726751	26	1	228
1727458	26	1	228
1727864	26	1	228
1728458	26	1	228
1728501	26	1	228
1728506	26	1	228
1737314	26	1	228
1737318	26	1	228
1738476	26	1	228
1740884	26	1	228
1740886	26	1	228
1740921	26	1	228
1741676	26	1	228
1741715	26	1	228
1742927	26	1	228
1743682	26	1	228
1770541	27	1	228
1790917	27	1	228
1790918	27	1	228
1800798	27	1	228
1800800	27	1	228
1802654	27	1	228
1802655	27	1	228
1806520	27	1	228
1806521	27	1	228
1806806	27	1	228
1807478	27	1	228
1807586	27	1	228
1807638	27	1	228
65	101	1	228
70	101	1	228
1998	101	1	228
2200	101	1	228
2213	101	1	228
4799	101	1	228
4813	101	1	228
5989	101	1	228
6489	101	1	228
6693	101	1	228
6962	101	1	228
7281	101	1	228
8010	101	1	228
8041	101	1	228
8054	101	1	228
8067	101	1	228
8177	101	1	228
8183	101	1	228
8244	101	1	228
8247	101	1	228
8284	101	1	228
8329	101	1	228
10409	101	1	228
13459	101	1	228
13461	101	1	228
13972	101	1	228
14030	101	1	228
19051	101	1	228
27078	101	1	228
29220	101	1	228
29222	101	1	228
4755	202	1	228
6054	202	1	228
6114	202	1	228
6124	202	1	228
6133	202	1	228
6163	202	1	228
6230	202	1	228
7359	202	1	228
8065	202	1	228
10525	202	1	228
11517	202	1	228
12133	202	1	228
14772	202	1	228
14816	202	1	228
25178	202	1	228
26130	202	1	228
26139	202	1	228
29492	202	1	228
6896	303	1	228
9110	303	1	228
9212	303	1	228
9240	303	1	228
28481	303	1	228
1282	404	1	228
2996	606	1	228
6253	606	1	228
11031	606	1	228
11140	606	1	228
35911	606	1	228
2365	1111	1	228
2369	1111	1	228
3677	1111	1	228
7000	1111	1	228
7137	1111	1	228
7736	1111	1	228
35785	1111	1	228
3011	1212	1	228
60333821	1310	1	208
3463	1313	1	228
3464	1313	1	228
9658	1313	1	228
12109	1313	1	228
13252	1313	1	228
14047	1313	1	228
14076	1313	1	228
14866	1313	1	228
16242	1313	1	228
608	1414	1	228
2006	1414	1	228
2079	1414	1	228
2149	1414	1	228
2295	1414	1	228
10259	1717	1	228
62	1818	1	228
6496	1818	1	228
149	2020	1	228
3467	2020	1	228
3538	2020	1	228
6185	2020	1	228
8025	2020	1	228
8038	2020	1	228
8048	2020	1	228
8094	2020	1	228
8100	2020	1	228
8199	2020	1	228
8968	2020	1	228
9419	2020	1	228
9546	2020	1	228
12247	2020	1	228
12248	2020	1	228
12407	2020	1	228
12688	2020	1	228
13264	2020	1	228
13468	2020	1	228
13730	2020	1	228
14020	2020	1	228
15847	2020	1	228
22237	2020	1	228
460	2121	1	228
9080	2121	1	228
9233	2121	1	228
10743	2121	1	228
3683	2222	1	228
3685	2222	1	228
3687	2222	1	228
4790	2222	1	228
5797	2222	1	228
6713	2222	1	228
7364	2222	1	228
10003	2222	1	228
10024	2222	1	228
10027	2222	1	228
10058	2222	1	228
10090	2222	1	228
10100	2222	1	228
14719	2222	1	228
4640	2323	1	228
5531	2323	1	228
14758	2323	1	228
15023	2323	1	228
15028	2323	1	228
15251	2323	1	228
32705	2323	1	228
33679	2323	1	228
1580701	2323	1	228
1586643	2323	1	228
1588136	2323	1	228
1588138	2323	1	228
1594744	2323	1	228
1595329	2323	1	228
1601327	2323	1	228
1603438	2323	1	228
1609321	2323	1	228
598	2525	1	228
599	2525	1	228
2010	2525	1	228
2055	2525	1	228
2139	2525	1	228
2147	2525	1	228
2260	2525	1	228
2286	2525	1	228
4914	2525	1	228
7917	2525	1	228
10191	2525	1	228
30736	2525	1	228
7313	2626	1	228
7385	2626	1	228
21440	2626	1	228
168	2727	1	228
4206	2727	1	228
7524	2727	1	228
7542	2727	1	228
7760	2727	1	228
9873	2727	1	228
141	3030	1	228
619	3030	1	228
2087	3030	1	228
3465	3030	1	228
3511	3030	1	228
4611	3030	1	228
4614	3030	1	228
5709	3030	1	228
7826	3030	1	228
9654	3030	1	228
10037	3030	1	228
10874	3030	1	228
11491	3030	1	228
11492	3030	1	228
12649	3030	1	228
14001	3030	1	228
14008	3030	1	228
14014	3030	1	228
14018	3030	1	228
14033	3030	1	228
14034	3030	1	228
14048	3030	1	228
14055	3030	1	228
14056	3030	1	228
14059	3030	1	228
14648	3030	1	228
21023	3030	1	228
21231	3030	1	228
668	3434	1	228
2937	3434	1	228
11136	3434	1	228
11354	3434	1	228
23108	3434	1	228
28136	3535	1	228
3890	4040	1	228
6461	4040	1	228
9413	4040	1	228
12534	4040	1	228
21214	4040	1	228
21854	4040	1	228
21857	4040	1	228
34205	4040	1	228
299	4141	1	228
325	4141	1	228
640	4141	1	228
2029	4141	1	228
2038	4141	1	228
5061	4141	1	228
5550	4141	1	228
5835	4141	1	228
6023	4141	1	228
6030	4141	1	228
6078	4141	1	228
6599	4141	1	228
6832	4141	1	228
8236	4141	1	228
8338	4141	1	228
9886	4141	1	228
11431	4141	1	228
13479	4141	1	228
13480	4141	1	228
14582	4141	1	228
16522	4141	1	228
16523	4141	1	228
18471	4141	1	228
23366	4141	1	228
24115	4141	1	228
24498	4141	1	228
25296	4141	1	228
26577	4141	1	228
3803	4242	1	228
7042	4242	1	228
7043	4242	1	228
7172	4242	1	228
7191	4242	1	228
8210	4242	1	228
8213	4242	1	228
10317	4242	1	228
20660	4242	1	228
21641	5000	2	228
21651	5000	2	228
21652	5000	2	228
21655	5000	2	228
21676	5000	2	228
26146	5000	2	228
31281	5000	2	228
31285	5000	2	228
34693	5000	2	228
34697	5000	2	228
34841	5000	2	228
2261	6000	2	228
2661	6000	2	228
3781	6000	2	228
3782	6000	2	228
13452	6000	2	228
13453	6000	2	228
13951	6000	2	228
13952	6000	2	228
13955	6000	2	228
13956	6000	2	228
14331	6000	2	228
15646	6000	2	228
15651	6000	2	228
19181	6000	2	228
19183	6000	2	228
19187	6000	2	228
19583	6000	2	228
19622	6000	2	228
22483	6000	2	228
22487	6000	2	228
22523	6000	2	228
22527	6000	2	228
23172	6000	2	228
23197	6000	2	228
23241	6000	2	228
23347	6000	2	228
23375	6000	2	228
23376	6000	2	228
27061	6000	2	228
27385	6000	2	228
28492	6000	2	228
28493	6000	2	228
28496	6000	2	228
30391	6000	2	228
31031	6000	2	228
31035	6000	2	228
31043	6000	2	228
31071	6000	2	228
31103	6000	2	228
31107	6000	2	228
31132	6000	2	228
31136	6000	2	228
31151	6000	2	228
31233	6000	2	228
31237	6000	2	228
31242	6000	2	228
31243	6000	2	228
31246	6000	2	228
31247	6000	2	228
31261	6000	2	228
31312	6000	2	228
31316	6000	2	228
31341	6000	2	228
31343	6000	2	228
31346	6000	2	228
32011	6000	2	228
11544	6001	3	228
11032	6002	3	228
11324	6002	3	228
11803	6002	3	228
12581	6003	3	228
12998	6003	3	228
12999	6003	3	228
13142	6003	3	228
13192	6003	3	228
13692	6003	3	228
12108	6004	3	228
12481	6004	3	228
12116	6006	3	228
13008	6006	3	228
13009	6006	3	228
13010	6006	3	228
13119	6006	3	228
13267	6006	3	228
13268	6006	3	228
13791	6006	3	228
14003	6006	3	228
14576	6006	3	228
14719	6006	3	228
14732	6006	3	228
14931	6006	3	228
13305	6008	3	228
13325	6008	3	228
13431	6008	3	228
13432	6008	3	228
13952	6008	3	228
14394	6008	3	228
17065	6008	3	228
17082	6008	3	228
17220	6008	3	228
17039	6009	3	228
17085	6009	3	228
17165	6009	3	228
17273	6009	3	228
17311	6009	3	228
17312	6009	3	228
17935	6009	3	228
3445	6500	2	228
11283	6500	2	228
30032	6500	2	228
30042	6500	2	228
30043	6500	2	228
883000	6501	3	228
883029	6501	3	228
883051	6501	3	228
883060	6501	3	228
883109	6501	3	228
883111	6501	3	228
883112	6501	3	228
883113	6501	3	228
883114	6501	3	228
883117	6501	3	228
883203	6501	3	228
883219	6501	3	228
883253	6501	3	228
883254	6501	3	228
883255	6501	3	228
883292	6501	3	228
883294	6501	3	228
883319	6501	3	228
883413	6501	3	228
883415	6501	3	228
883425	6501	3	228
883429	6501	3	228
883473	6501	3	228
883489	6501	3	228
883551	6501	3	228
883570	6501	3	228
883649	6501	3	228
884070	6501	3	228
884111	6501	3	228
884170	6501	3	228
885503	6501	3	228
885539	6501	3	228
949668	6503	3	228
949768	6503	3	228
949911	6503	3	228
949912	6503	3	228
949913	6503	3	228
950035	6503	3	228
950066	6503	3	228
950225	6503	3	228
950227	6503	3	228
1146121	6503	3	228
1146239	6503	3	228
1146241	6503	3	228
1146526	6503	3	228
1146528	6503	3	228
1146693	6503	3	228
1146695	6503	3	228
1147314	6503	3	228
1147316	6503	3	228
1147318	6503	3	228
1147819	6503	3	228
1147825	6503	3	228
1147933	6503	3	228
949538	6504	3	228
949539	6504	3	228
949540	6504	3	228
950048	6504	3	228
950115	6504	3	228
950119	6504	3	228
950120	6504	3	228
950197	6504	3	228
950205	6504	3	228
950206	6504	3	228
1146418	6504	3	228
1146506	6504	3	228
1146527	6504	3	228
1146939	6504	3	228
1146961	6504	3	228
1148207	6506	3	228
1148688	6506	3	228
1148844	6506	3	228
1148845	6506	3	228
1149173	6506	3	228
1149200	6506	3	228
1149201	6506	3	228
1149247	6506	3	228
1151280	6508	3	228
1151320	6508	3	228
1151324	6508	3	228
1151325	6508	3	228
1151443	6508	3	228
1151446	6508	3	228
1151451	6508	3	228
1151452	6508	3	228
1151453	6508	3	228
1151454	6508	3	228
1151473	6508	3	228
1151593	6508	3	228
1151594	6508	3	228
1151623	6508	3	228
1151624	6508	3	228
1151851	6508	3	228
107693	7500	3	228
109306	7500	3	228
109946	7500	3	228
109977	7500	3	228
109986	7500	3	228
109987	7500	3	228
110006	7500	3	228
110007	7500	3	228
110026	7500	3	228
110038	7500	3	228
110116	7500	3	228
110118	7500	3	228
110137	7500	3	228
111731	7500	3	228
111732	7500	3	228
175957	7510	3	228
175958	7510	3	228
372550	7510	3	228
373291	7510	3	228
373306	7510	3	228
15074	8001	3	228
15212	8001	3	228
15217	8001	3	228
19221	8001	3	228
19223	8001	3	228
19226	8001	3	228
14078	8005	3	228
14306	8005	3	228
14433	8005	3	228
17716	8007	3	228
17717	8007	3	228
1020752	8501	3	228
1020753	8501	3	228
1085754	8501	3	228
1085755	8501	3	228
1086339	8501	3	228
1017168	8502	3	228
1017295	8502	3	228
1017765	8502	3	228
1019484	8502	3	228
1019503	8502	3	228
1022072	8502	3	228
1087801	8503	3	228
1087827	8503	3	228
27087	9006	3	228
237549	9505	3	228
237550	9505	3	228
237723	9505	3	228
241415	9505	3	228
241420	9505	3	228
243068	9505	3	228
497039	9511	3	228
501594	9511	3	228
502063	9511	3	228
5551	10069	10	222
7483	10602	10	208
42056	10602	10	208
2510	11804	10	208
4061	15000	2	228
4062	15000	2	228
21071	15000	2	228
232	16001	2	228
3581	16001	2	228
15961	16001	2	228
22501	16001	2	228
22506	16001	2	228
22561	16001	2	228
22562	16001	2	228
22962	16001	2	228
23923	16001	2	228
25152	16001	2	228
28411	16001	2	228
29135	16001	2	228
32032	16001	2	228
32531	16001	2	228
32581	16001	2	228
32623	16001	2	228
32652	16001	2	228
32661	16001	2	228
32662	16001	2	228
32672	16001	2	228
32801	16001	2	228
32805	16001	2	228
32822	16001	2	228
32823	16001	2	228
32892	16001	2	228
32902	16001	2	228
33011	16001	2	228
33023	16001	2	228
33071	16001	2	228
33153	16001	2	228
33155	16001	2	228
33157	16001	2	228
12241	17000	2	228
12242	17000	2	228
31142	17000	2	228
37011	18000	2	228
13636983	18114	10	208
13688662	18114	10	208
2442	19000	2	228
2443	19000	2	228
26326819	20000	2	228
26327567	20000	2	228
26327568	20000	2	228
26327571	20000	2	228
26328859	20000	2	228
26329478	20000	2	228
26333478	20000	2	228
26335047	20000	2	228
26335048	20000	2	228
26335053	20000	2	228
26335869	20000	2	228
26336018	20000	2	228
26336158	20000	2	228
26337477	20000	2	228
26337479	20000	2	228
26337627	20000	2	228
26337629	20000	2	228
26337699	20000	2	228
26337701	20000	2	228
26337703	20000	2	228
26338877	20000	2	228
26342308	20000	2	228
26342428	20000	2	228
26342578	20000	2	228
26337838	20200	2	228
26342607	20200	2	228
26342608	20200	2	228
43363	20991	1	208
51160433	20996	1	208
51280943	20997	1	208
26400865	21000	2	228
26397543	21100	2	228
26393494	21200	2	228
26398473	21200	2	228
1427	21253	1	208
26460520	22000	2	228
26460521	22000	2	228
26461499	22000	2	228
26463111	22000	2	228
26463309	22000	2	228
26463562	22000	2	228
26466229	22000	2	228
26471029	22000	2	228
26471359	22000	2	228
26471360	22000	2	228
26472181	22000	2	228
26457039	22100	2	228
26457041	22100	2	228
26458169	22100	2	228
26458171	22100	2	228
26458179	22100	2	228
26458180	22100	2	228
26458182	22100	2	228
26458659	22100	2	228
26459339	22100	2	228
26459469	22100	2	228
26461649	22100	2	228
26461719	22100	2	228
26461720	22100	2	228
26462029	22100	2	228
26462039	22100	2	228
26462679	22100	2	228
26463022	22100	2	228
26463619	22100	2	228
26463930	22100	2	228
26464026	22100	2	228
26464032	22100	2	228
26464033	22100	2	228
26464037	22100	2	228
26464038	22100	2	228
26464042	22100	2	228
26464043	22100	2	228
26464044	22100	2	228
26464050	22100	2	228
26464074	22100	2	228
26464310	22100	2	228
26465419	22100	2	228
26466519	22100	2	228
26466520	22100	2	228
26466530	22100	2	228
26466870	22100	2	228
26467181	22100	2	228
26467419	22100	2	228
26467420	22100	2	228
26467421	22100	2	228
26468409	22100	2	228
26468789	22100	2	228
26469001	22100	2	228
26469190	22100	2	228
26469191	22100	2	228
26469411	22100	2	228
26471100	22100	2	228
26471310	22100	2	228
26471409	22100	2	228
26471411	22100	2	228
26471429	22100	2	228
26471880	22100	2	228
26472040	22100	2	228
26457749	22200	2	228
26457760	22200	2	228
26460659	22200	2	228
26460770	22200	2	228
26461920	22200	2	228
26463900	22200	2	228
26464530	22200	2	228
26459581	22300	2	228
26460821	22300	2	228
26460831	22300	2	228
26460991	22300	2	228
26461100	22300	2	228
26461401	22300	2	228
26461669	22300	2	228
26462510	22300	2	228
26462650	22300	2	228
26463759	22300	2	228
26463760	22300	2	228
26463761	22300	2	228
10302	30000	2	228
16127	30000	2	228
